scientific_name,predictor,coefficient,se,order,common_name,eBird_spp_codes,Habitat.use,Habitat.type,Notes,HWI,Body.mass,Log.transformed.Body.Mass,TrophicLevel,TrophicNiche,Migration.1,Migration.2,Migration.3,Diet
Lanius cristatus,bio_1,16.9447042275997,2.7631541913774,Passeriformes,Brown Shrike,brnshr,OC,Forest,Some level of association with forest/forest edge,26.95579136,33.5,1.50758604,Carnivore,Invertivore,Full Migrant,3,directional migratory,invertebrates
Lanius cristatus,Ibio_1^2,-14.4194683344738,2.36859285874899,Passeriformes,Brown Shrike,brnshr,OC,Forest,Some level of association with forest/forest edge,26.95579136,33.5,1.50758604,Carnivore,Invertivore,Full Migrant,3,directional migratory,invertebrates
Lanius cristatus,bio_12,3.48620883663738,1.56964412901625,Passeriformes,Brown Shrike,brnshr,OC,Forest,Some level of association with forest/forest edge,26.95579136,33.5,1.50758604,Carnivore,Invertivore,Full Migrant,3,directional migratory,invertebrates
Lanius cristatus,lc_02,-1.10395665496021,0.479532694595655,Passeriformes,Brown Shrike,brnshr,OC,Forest,Some level of association with forest/forest edge,26.95579136,33.5,1.50758604,Carnivore,Invertivore,Full Migrant,3,directional migratory,invertebrates
Parus cinereus,bio_1,-4.21857775247002,1.6987072634788,Passeriformes,Cinereous Tit,gretit2,OC,Generalist,Open habitats,17.00271931,18.2,1.260071388,Omnivore,Invertivore,NA,1,resident,NA
Zosterops palpebrosus,bio_1,8.52271235054164,2.11094829715366,Passeriformes,Indian White-eye,indwhe1,OC,Generalist,"Occurs in a mix of habitat types, including forest",21.11433824,8.6,0.934498451,Omnivore,Omnivore,Full Migrant,1,resident,omnivore
Zosterops palpebrosus,Ibio_1^2,-18.0846666997408,2.31200438325532,Passeriformes,Indian White-eye,indwhe1,OC,Generalist,"Occurs in a mix of habitat types, including forest",21.11433824,8.6,0.934498451,Omnivore,Omnivore,Full Migrant,1,resident,omnivore
Zosterops palpebrosus,lc_01,2.25704708425808,0.377672091455616,Passeriformes,Indian White-eye,indwhe1,OC,Generalist,"Occurs in a mix of habitat types, including forest",21.11433824,8.6,0.934498451,Omnivore,Omnivore,Full Migrant,1,resident,omnivore
Zosterops palpebrosus,lc_04,2.83307144672008,0.655170071800541,Passeriformes,Indian White-eye,indwhe1,OC,Generalist,"Occurs in a mix of habitat types, including forest",21.11433824,8.6,0.934498451,Omnivore,Omnivore,Full Migrant,1,resident,omnivore
Hierococcyx varius,bio_1,20.640710959557,3.38444561187858,Cuculiformes,Common Hawk-Cuckoo,cohcuc1,OC,Forest,UNSURE,34.94873606,103,2.012837225,Carnivore,Invertivore,Full Migrant,1,directional migratory,invertebrates
Hierococcyx varius,Ibio_1^2,-13.4599989951083,2.58148831308759,Cuculiformes,Common Hawk-Cuckoo,cohcuc1,OC,Forest,UNSURE,34.94873606,103,2.012837225,Carnivore,Invertivore,Full Migrant,1,directional migratory,invertebrates
Hierococcyx varius,bio_12,8.88451615102875,1.41541003726416,Cuculiformes,Common Hawk-Cuckoo,cohcuc1,OC,Forest,UNSURE,34.94873606,103,2.012837225,Carnivore,Invertivore,Full Migrant,1,directional migratory,invertebrates
Hierococcyx varius,Ibio_12^2,-8.65927995261955,1.38320098204409,Cuculiformes,Common Hawk-Cuckoo,cohcuc1,OC,Forest,UNSURE,34.94873606,103,2.012837225,Carnivore,Invertivore,Full Migrant,1,directional migratory,invertebrates
Hierococcyx varius,lc_03,-3.10920156559559,1.48102124794318,Cuculiformes,Common Hawk-Cuckoo,cohcuc1,OC,Forest,UNSURE,34.94873606,103,2.012837225,Carnivore,Invertivore,Full Migrant,1,directional migratory,invertebrates
Cinnyris lotenius,bio_1,7.38697253890528,3.59342391644184,Passeriformes,Loten's Sunbird,lobsun2,FOR,Forest,wooded areas and human habitation,14.2241907,8,0.942999593,Omnivore,Nectarivore,Not a Migrant,1,resident,omnivore
Cinnyris lotenius,bio_12,6.60536888478969,1.74392778964617,Passeriformes,Loten's Sunbird,lobsun2,FOR,Forest,wooded areas and human habitation,14.2241907,8,0.942999593,Omnivore,Nectarivore,Not a Migrant,1,resident,omnivore
Cinnyris lotenius,Ibio_12^2,-5.02908716843806,1.63086788005889,Passeriformes,Loten's Sunbird,lobsun2,FOR,Forest,wooded areas and human habitation,14.2241907,8,0.942999593,Omnivore,Nectarivore,Not a Migrant,1,resident,omnivore
Dicrurus leucophaeus,bio_1,11.1422621497426,1.85624234832165,Passeriformes,Ashy Drongo,ashdro1,OC,Forest,Observed in mostly forested areas (seen in Eucalyptus in Valparai),30.10929264,37.6,1.575187845,Carnivore,Invertivore,Full Migrant,1,directional migratory,invertebrates
